Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
1,461208824,ASOCIAŢIA IACOB MICUL LORD,GRĂDINIŢA MICUL LORD,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Unitate de învățământ,Privată
2,2531100059,CASA CORPULUI DIDACTIC,CCDMH,DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
3,2131100576,CASA CORPULUI DIDACTIC,CASA CORPULUI DIDACTIC,SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
4,1131100081,CASA CORPULUI DIDACTIC,CCD CARAS-SEVERIN,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
5,631100135,CASA CORPULUI DIDACTIC A JUDEȚULUI BISTRIȚA-NĂSĂUD,CCD BISTRIȚA-NĂSĂUD,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
6,1031103642,CASA CORPULUI DIDACTIC A JUDEȚULUI BUZĂU,CCD BUZAU,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
7,131100079,CASA CORPULUI DIDACTIC ALBA,CCD ALBA,ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
8,231100046,"CASA CORPULUI DIDACTIC ""ALEXANDRU GAVRA"" ARAD",CCD ARAD,ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
9,1931104634,"CASA CORPULUI DIDACTIC ""APÁCZAI CSERE JÁNOS"" MIERCUREA CIUC","CCD ""APACZAI"" MIERCUREA CIUC",MIERCUREA CIUC,MUNICIPIUL MIERCUREA CIUC,HARGHITA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
10,331100108,CASA CORPULUI DIDACTIC ARGEȘ,CCD ARGEȘ,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
11,731104748,CASA CORPULUI DIDACTIC BOTOSANI,CCD BOTOSANI,BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
12,831101454,Casa Corpului Didactic Brașov,Casa Corpului Didactic Brașov,BRAŞOV,MUNICIPIUL BRAŞOV,BRAŞOV,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
13,931100058,CASA CORPULUI DIDACTIC BRĂILA,CASA CORPULUI DIDACTIC BRĂILA,BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
14,4031104572,Casa Corpului Didactic București,CCD București,BUCUREŞTI SECTORUL 6,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
15,5131100478,CASA CORPULUI DIDACTIC CĂLĂRAȘI,C.C.D CĂLĂRAȘI,CĂLĂRAŞI,MUNICIPIUL CĂLĂRAŞI,CĂLĂRAŞI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
16,1231101682,CASA CORPULUI DIDACTIC CLUJ,CASA CORPULUI DIDACTIC CLUJ,CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
17,1331100087,CASA CORPULUI DIDACTIC CONSTANŢA,CCD CȚA,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
18,1431100167,"Casa Corpului Didactic ""Csutak Vilmos"" Sfântu Gheorghe",CCD SFÂNTU GHEORGHE,SFÂNTU GHEORGHE,MUNICIPIUL SFÂNTU GHEORGHE,COVASNA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
19,3031100073,"CASA CORPULUI DIDACTIC ""DARIU POP"" SATU MARE",CCD SATU MARE,SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
20,1631104272,CASA CORPULUI DIDACTIC DOLJ,CCD DOLJ,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
21,1731100339,CASA CORPULUI DIDACTIC GALAȚI,CCD GL,GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
22,3331100105,"CASA CORPULUI DIDACTIC ""GEORGE TOFAN"" SUCEAVA",CCD ”GEORGE TOFAN” Suceava,SUCEAVA,MUNICIPIUL SUCEAVA,SUCEAVA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
23,5231102135,CASA CORPULUI DIDACTIC GIURGIU,CCD GIURGIU,GIURGIU,MUNICIPIUL GIURGIU,GIURGIU,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
24,1831106235,"CASA CORPULUI DIDACTIC GORJ, MUNICIPIUL TÂRGU JIU","C. C. D. GORJ, TG-JIU",TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
25,431104825,CASA CORPULUI DIDACTIC „GRIGORE TĂBĂCARU” BACĂU,CCD BACĂU,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
26,2031100175,CASA CORPULUI DIDACTIC HUNEDOARA,CCD HUNEDOARA,DEVA,MUNICIPIUL DEVA,HUNEDOARA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
27,2331100026,CASA CORPULUI DIDACTIC ILFOV,CASA CORPULUI DIDACTIC ILFOV,BRĂNEŞTI,BRĂNEŞTI,ILFOV,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
28,2431100092,CASA CORPULUI DIDACTIC MARAMUREȘ,CCDMM,BAIA MARE,MUNICIPIUL BAIA MARE,MARAMUREŞ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
29,2631100071,CASA CORPULUI DIDACTIC MUREŞ,CCD MUREŞ,TÂRGU MUREŞ,MUNICIPIUL TÂRGU MUREŞ,MUREŞ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
30,2731100065,CASA CORPULUI DIDACTIC NEAMȚ,CCD NEAMȚ,PIATRA-NEAMŢ,MUNICIPIUL PIATRA-NEAMŢ,NEAMŢ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
31,2831100276,CASA CORPULUI DIDACTIC OLT,CASA CORPULUI DIDACTIC OLT,SLATINA,MUNICIPIUL SLATINA,OLT,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
32,531100263,CASA CORPULUI DIDACTIC ORADEA,CASA CORPULUI DIDACTIC ORADEA,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
33,2931100288,CASA CORPULUI DIDACTIC PRAHOVA,CASA CORPULUI DIDACTIC PRAHOVA,PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
34,3131100058,CASA CORPULUI DIDACTIC SĂLAJ,CCD SĂLAJ,ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
35,3231101858,CASA CORPULUI DIDACTIC SIBIU,CCD SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
36,3931100313,"CASA CORPULUI DIDACTIC ""SIMION MEHEDINȚI"" FOCȘANI","CCD ""SIMION MEHEDINȚI"" FOCȘANI",FOCŞANI,MUNICIPIUL FOCŞANI,VRANCEA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
37,2231104434,"CASA CORPULUI DIDACTIC ""SPIRU HARET"" IAȘI",CCD IASI,IAŞI,MUNICIPIUL IAŞI,IAŞI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
38,1531100084,CASA CORPULUI DIDACTIC TÂRGOVIȘTE,CASA CORPULUI DIDACTIC TÂRGOVIȘTE,TÂRGOVIŞTE,MUNICIPIUL TÂRGOVIŞTE,DÂMBOVIŢA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
39,3431100221,CASA CORPULUI DIDACTIC TELEORMAN,CCD TELEORMAN,ALEXANDRIA,MUNICIPIUL ALEXANDRIA,TELEORMAN,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
40,3531100563,CASA CORPULUI DIDACTIC TIMIȘOARA,CCD TIMIȘOARA,TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
41,3631100037,CASA CORPULUI DIDACTIC TULCEA,CCD TULCEA,TULCEA,MUNICIPIUL TULCEA,TULCEA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
42,3731100058,CASA CORPULUI DIDACTIC VASLUI,CCD VASLUI,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
43,3831100034,CASA CORPULUI DIDACTIC VÂLCEA,CCD VALCEA,RÂMNICU VÂLCEA,MUNICIPIUL RÂMNICU VÂLCEA,VÂLCEA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
44,2561101401,"CENTRU ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ""CONSTANTIN PUFAN""",CSEI C. PUFAN,DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
45,4062108166,Centrul de Educație Specială,Centrul de Educație Specială,BUCUREŞTI SECTORUL 2,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
46,2061100484,CENTRUL DE PEDAGOGIE CURATIVĂ SIMERIA,CENTRUL DE PEDAGOGIE CURATIVĂ SIMERIA,SIMERIA VECHE,ORAŞ SIMERIA,HUNEDOARA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
47,3361203686,"CENTRUL DE STUDII ""ȘTEFAN CEL MARE ȘI SFÂNT - BUCOVINA"" CÂMPULUNG MOLDOVENESC",CENTRUL DE STUDII ”ST. CEL MARE ȘI SFÂNT” C-LUNG M,CÂMPULUNG MOLDOVENESC,MUNICIPIUL CÂMPULUNG MOLDOVENESC,SUCEAVA,Cu personalitate juridică,Unitate de învățământ,Privată
48,3262103789,"CENTRUL DE ZI ""CASA LUMINII"" SIBIU","CENTRU DE ZI ""CASA LUMINII"" SIBIU",SIBIU,MUNICIPIUL SIBIU,SIBIU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
49,3961205489,"CENTRUL EDUCATIV DE ZI ""MARIA-AJUTORUL COPIILOR"" FOCȘANI","CZ ""MARIA-AJUTORUL COPIILOR"" FOCȘANI",FOCŞANI,MUNICIPIUL FOCŞANI,VRANCEA,Cu personalitate juridică,Unitate de învățământ,Privată
50,741104441,CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA,CJRAE,BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
51,2641104745,CENTRUL JUDETEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ MUREȘ,CJRAE MUREȘ,TÂRGU MUREŞ,MUNICIPIUL TÂRGU MUREŞ,MUREŞ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
52,1142103252,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSHIOPEDAGOGICĂ,CJAP RESITA,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
53,742105478,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ,CJAPP,BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
54,362107121,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ ARGEȘ,CJAP ARGEȘ,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
55,442108671,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ BACĂU,CJAP BACAU,BACĂU,MUNICIPIUL BACĂU,BACĂU,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
56,1742100344,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ GALAȚI,CJAP GL,GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
57,2242104398,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ IAȘI,CJAPP IASI,IAŞI,MUNICIPIUL IAŞI,IAŞI,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
58,1042103995,CENTRUL JUDEŢEAN DE ASISTENŢĂ PSIHOPEDAGOGICĂ MUNICIPIUL BUZĂU,CJAP BZ,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
59,3042100603,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ SATU MARE,CJAPP SATU MARE,SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
60,3142100185,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ SĂLAJ,CJAPP SĂLAJ,ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
61,3342108475,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ SUCEAVA,CJAP SUCEAVA,SUCEAVA,MUNICIPIUL SUCEAVA,SUCEAVA,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
62,2591102679,CENTRUL JUDEȚEAN DE EXCELENTĂ MEHEDINȚI,CJE MEHEDINȚI,DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
63,191105924,CENTRUL JUDEȚEAN DE EXCELENȚĂ ALBA,CEX ALBA,ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
64,291105217,CENTRUL JUDEȚEAN DE EXCELENȚĂ ARAD,CJE ARAD,ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
65,391106872,CENTRUL JUDEȚEAN DE EXCELENȚĂ ARGEȘ,CJE ARGEȘ,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
66,491104665,CENTRUL JUDEȚEAN DE EXCELENȚĂ BACĂU,CJE BACĂU,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
67,591109456,CENTRUL JUDEȚEAN DE EXCELENȚĂ BIHOR,CJE BIHOR,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
68,691139468,CENTRUL JUDEȚEAN DE EXCELENȚĂ BISTRIȚA-NĂSĂUD,CJE BISTRIȚA-NĂSĂUD,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
69,791105684,CENTRUL JUDEȚEAN DE EXCELENȚĂ BOTOȘANI,CJE BOTOȘANI,BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
70,891104813,Centrul Județean de Excelență Brașov,CJE Brașov,BRAŞOV,MUNICIPIUL BRAŞOV,BRAŞOV,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
71,991103082,CENTRUL JUDEȚEAN DE EXCELENȚĂ BRĂILA,CEX BRĂILA,BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
72,1191104916,CENTRUL JUDEȚEAN DE EXCELENȚĂ CARAȘ-SEVERIN,CJE CARAȘ-SEVERIN,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
73,5191103733,CENTRUL JUDEȚEAN DE EXCELENȚĂ CĂLĂRAȘI,C.E.X CĂLĂRAȘI,CĂLĂRAŞI,MUNICIPIUL CĂLĂRAŞI,CĂLĂRAŞI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
74,1291105558,CENTRUL JUDEȚEAN DE EXCELENȚĂ CLUJ,CENTRUL JUDEȚEAN DE EXCELENȚĂ CLUJ,CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
75,1391105828,CENTRUL JUDEȚEAN DE EXCELENȚĂ CONSTANȚA,CJE CONSTANȚA,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
76,1491103535,Centrul Județean de Excelență Covasna,CJE Covasna,SFÂNTU GHEORGHE,MUNICIPIUL SFÂNTU GHEORGHE,COVASNA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
77,1591106039,CENTRUL JUDEȚEAN DE EXCELENȚĂ DÂMBOVIȚA,CJE DÂMBOVIȚA,TÂRGOVIŞTE,MUNICIPIUL TÂRGOVIŞTE,DÂMBOVIŢA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
78,1691106232,CENTRUL JUDEȚEAN DE EXCELENȚĂ DOLJ,CJE DOLJ,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
79,1791104893,CENTRUL JUDEȚEAN DE EXCELENȚĂ GALAȚI,CJE GL,GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
80,5291102192,CENTRUL JUDEȚEAN DE EXCELENȚĂ GIURGIU,CJEx GIURGIU,GIURGIU,MUNICIPIUL GIURGIU,GIURGIU,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
81,1891106889,CENTRUL JUDEȚEAN DE EXCELENȚĂ GORJ,C.J.E. GORJ,TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
82,1991106553,CENTRUL JUDEȚEAN DE EXCELENȚĂ HARGHITA,CJE HARGHITA,MIERCUREA CIUC,MUNICIPIUL MIERCUREA CIUC,HARGHITA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
83,2091103674,CENTRUL JUDEȚEAN DE EXCELENȚĂ HUNEDOARA,CJE HUNEDOARA,DEVA,MUNICIPIUL DEVA,HUNEDOARA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
84,2191101675,CENTRUL JUDEȚEAN DE EXCELENȚĂ IALOMIȚA,CENTRUL JUD.DE EXCELENȚĂ IALOMIȚA,SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
85,2291107381,CENTRUL JUDEȚEAN DE EXCELENȚĂ IAȘI,CJE IAȘI,IAŞI,MUNICIPIUL IAŞI,IAŞI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
86,2391102994,CENTRUL JUDEȚEAN DE EXCELENȚĂ ILFOV,CENTRUL JUDEȚEAN DE EXCELENȚĂ ILFOV,GRUIU,GRUIU,ILFOV,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
87,2491105001,CENTRUL JUDEȚEAN DE EXCELENȚĂ MARAMUREȘ,CEXMM,BAIA MARE,MUNICIPIUL BAIA MARE,MARAMUREŞ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
88,1091107138,CENTRUL JUDEŢEAN DE EXCELENŢĂ MUNICIPIUL BUZĂU,CJE BUZĂU,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
89,2691108851,CENTRUL JUDEȚEAN DE EXCELENȚĂ MUREȘ,CJE MUREȘ,TÂRGU MUREŞ,MUNICIPIUL TÂRGU MUREŞ,MUREŞ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
90,2791103894,CENTRUL JUDEȚEAN DE EXCELENȚĂ NEAMȚ,CJE NEAMȚ,PIATRA-NEAMŢ,MUNICIPIUL PIATRA-NEAMŢ,NEAMŢ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
91,2891104401,CENTRUL JUDEȚEAN DE EXCELENȚĂ OLT,CJE OLT,SLATINA,MUNICIPIUL SLATINA,OLT,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
92,2991107606,CENTRUL JUDEŢEAN DE EXCELENŢĂ PRAHOVA,CJE PRAHOVA,PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
93,3091101665,CENTRUL JUDEȚEAN DE EXCELENȚĂ SATU MARE,CJE SATU MARE,SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
94,3191104531,CENTRUL JUDEȚEAN DE EXCELENȚĂ SĂLAJ,CJE SĂLAJ,ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
95,3291103958,CENTRUL JUDEŢEAN DE EXCELENŢĂ SIBIU,CJE SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
96,3391108663,CENTRUL JUDEȚEAN DE EXCELENȚĂ SUCEAVA,CEX SUCEAVA,SUCEAVA,MUNICIPIUL SUCEAVA,SUCEAVA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
97,3491104038,CENTRUL JUDEȚEAN DE EXCELENȚĂ TELEORMAN,CJE TELEORMAN,ALEXANDRIA,MUNICIPIUL ALEXANDRIA,TELEORMAN,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
98,3591106694,CENTRUL JUDEȚEAN DE EXCELENȚĂ TIMIȘ,CJE TIMIȘ,TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
99,3691101665,CENTRUL JUDEȚEAN DE EXCELENȚĂ TULCEA,CJE TULCEA,TULCEA,MUNICIPIUL TULCEA,TULCEA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
100,3791107905,CENTRUL JUDEŢEAN DE EXCELENŢĂ VASLUI,CJE VASLUI,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
101,3891105553,CENTRUL JUDEȚEAN DE EXCELENȚĂ VÂLCEA,CJE VÂLCEA,RÂMNICU VÂLCEA,MUNICIPIUL RÂMNICU VÂLCEA,VÂLCEA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
102,3991105651,CENTRUL JUDEȚEAN DE EXCELENȚĂ VRANCEA,CJE VRANCEA,FOCŞANI,MUNICIPIUL FOCŞANI,VRANCEA,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
103,2041100411,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚA EDUCAȚIONALĂ,CJRAE,DEVA,MUNICIPIUL DEVA,HUNEDOARA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
104,541108308,CENTRUL JUDEŢEAN DE RESURSE ȘI ASISTENŢĂ EDUCAŢIONALĂ,CJRAE BIHOR,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
105,2541101617,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ,CJRAE,DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
106,1641104562,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ,CJRAE DOLJ,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
107,2141100667,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ,CENTRUL JUD.DE RESURSE SI ASIT.EDUCATIONALA,SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
108,1941104829,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ,CJRAE MIERCUREA CIUC,MIERCUREA CIUC,MUNICIPIUL MIERCUREA CIUC,HARGHITA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
109,141103345,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ ALBA,CJRAE ALBA,ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
110,341104551,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ ARGEȘ,CJRAE ARGEȘ,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
111,441107304,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ BACĂU,CJRAE,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
