Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
2811,2462102964,GRĂDINIȚA CU PROGRAM NORMAL DOBRICU LĂPUȘULUI,GPN DOBRICU LAPUSULUI,DOBRICU LĂPUŞULUI,ORAŞ TÂRGU LĂPUŞ,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2812,1662100636,GRĂDINIȚA CU PROGRAM NORMAL DOBRIDOR,GRADINITA DOBRIDOR,DOBRIDOR,MOŢĂŢEI,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2813,3162104222,GRĂDINIȚA CU PROGRAM NORMAL DOBRIN,GR.PR.NOR. DOBRIN,DOBRIN,DOBRIN,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2814,1862103758,"GRĂDINIȚA CU PROGRAM NORMAL DOBRIȚA, RUNCU","GRĂD. CU P. N. DOBRIȚA, RUNCU",DOBRIŢA,RUNCU,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2815,1362103802,GRĂDINIŢA CU PROGRAM NORMAL DOBROMIR-DEAL,GRĂDIN PR NORMAL DOBROMIR-DEAL,DOBROMIRU DIN DEAL,DOBROMIR,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2816,1362103797,GRĂDINIŢA CU PROGRAM NORMAL DOBROMIR-VALE,GRĂDIN PR NORMAL DOBROMIR-VALE,DOBROMIR,DOBROMIR,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2817,2862102551,GRĂDINIȚA CU PROGRAM NORMAL DOBROSLOVENI,GPN DOBROSLOVENI,DOBROSLOVENI,DOBROSLOVENI,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2818,1662102077,GRĂDINIȚA CU PROGRAM NORMAL DOBROTEȘTI,GRADINITA DOBROTESTI,DOBROTEŞTI,DOBROTEŞTI,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2819,2862101455,GRĂDINIȚA CU PROGRAM NORMAL DOBROTINET,GPN DOBROTINET,DOBROTINET,CURTIŞOARA,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2820,2862104309,GRĂDINIȚA CU PROGRAM NORMAL DOBRUN,GPN DOBRUN,DOBRUN,DOBRUN,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2821,1162100214,GRĂDINIŢA CU PROGRAM NORMAL DOCLIN,GPN DOCLIN,DOCLIN,DOCLIN,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2822,1162101667,GRĂDINIŢA CU PROGRAM NORMAL DOGNECEA,GPN DOGNECEA,DOGNECEA,DOGNECEA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2823,3562100293,GRĂDINIȚA CU PROGRAM NORMAL DOLAȚ,GPN DOLAȚ LIVEZILE,DOLAŢ,LIVEZILE,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2824,3362105333,GRĂDINIȚA CU PROGRAM NORMAL DOLHASCA,GPN DOLHASCA,DOLHASCA,ORAŞ DOLHASCA,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2825,3162101472,GRĂDINIȚA CU PROGRAM NORMAL DOLHENI,GR.PR.NOR. DOLHENI,DOLHENI,ILEANDA,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2826,3362101736,GRĂDINIȚA CU PROGRAM NORMAL DOLHEȘTII MARI,GPN DOLHEȘTII MARI,DOLHEŞTII-MARI,DOLHEŞTI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2827,3362101772,GRĂDINIȚA CU PROGRAM NORMAL DOLHEȘTII MICI,GPN DOLHEȘTII MICI,DOLHEŞTII MICI,DOLHEŞTI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2828,1162100458,GRĂDINIŢA CU PROGRAM NORMAL DOLINA,GPN DOLINA,DOLINA,CORNEREVA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2829,1162103036,GRĂDINIŢA CU PROGRAM NORMAL DOMAN,GPN DOMAN RESITA,DOMAN,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2830,1162101459,GRĂDINIŢA CU PROGRAM NORMAL DOMAŞNEA,GPN DOMASNEA,DOMAŞNEA,DOMAŞNEA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2831,3062100233,GRĂDINIȚA CU PROGRAM NORMAL DOMĂNEȘTI,GPN DOMĂNEȘTI,DOMĂNEŞTI,MOFTIN,SATU MARE,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2832,3962101347,GRĂDINIȚA CU PROGRAM NORMAL DOMNEȘTI-TÂRG,GRĂD.PR.NORMAL DOMNEȘTI-TÂRG,DOMNEŞTI-TÂRG,PUFEŞTI,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2833,3162102093,GRĂDINIȚA CU PROGRAM NORMAL DOMNIN,GR.PR.NOR. DOMNIN,DOMNIN,SOMEŞ-ODORHEI,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2834,2862102239,"GRĂDINIȚA CU PROGRAM NORMAL ""DOMNIȚA BĂLAȘA"" VĂLENI","GPN ""DOMNIȚA BĂLAȘA"" VĂLENI",VĂLENI,BRÂNCOVENI,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2835,1662101438,GRĂDINIȚA CU PROGRAM NORMAL DOMNU TUDOR,GRADINITA DOMNU TUDOR,DOMNU TUDOR,IZVOARE,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2836,862102999,Grădinița cu Program Normal Dopca,Grădinița cu PN Dopca,DOPCA,HOGHIZ,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2837,3362104816,GRĂDINIȚA CU PROGRAM NORMAL DORNA ARINI,GPN DORNA ARINI,DORNA-ARINI,DORNA-ARINI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2838,3362104445,GRĂDINIȚA CU PROGRAM NORMAL DORNIȘOARA,GPN DORNIȘOARA,DORNIŞOARA,POIANA STAMPEI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2839,1362104631,GRĂDINIŢA CU PROGRAM NORMAL DOROBANŢU,GRĂDIN PR NORMAL DOROBANŢU,DOROBANŢU,NICOLAE BĂLCESCU,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2840,3362101451,GRĂDINIȚA CU PROGRAM NORMAL DOROTEIA,GPN DOROTEIA,DOROTEIA,ORAŞ FRASIN,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2841,162105244,GRĂDINIȚA CU PROGRAM NORMAL DOȘTAT,GPN DOȘTAT,DOŞTAT,DOŞTAT,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2842,3462100408,"GRĂDINIȚA CU PROGRAM NORMAL ""DR. GHEORGHE FURTUNĂ"" BOTOROAGA","GRĂD CU PN ""DR. GHEORGHE FURTUNĂ"" BOTOROAGA",BOTOROAGA,BOTOROAGA,TELEORMAN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2843,1262104506,"GRĂDINIȚA CU PROGRAM NORMAL ""DR. ION RAȚIU"" - STRUCTURA 1 TURDA","GRĂDINIȚA CU PN ""DR. ION RAȚIU"" - STR 1 (4) TURDA",TURDA,MUNICIPIUL TURDA,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2844,1262104524,"GRĂDINIȚA CU PROGRAM NORMAL ""DR. ION RAȚIU"" - STRUCTURA 2 TURDA","GRĂDINIȚA CU PN ""DR.ION RAȚIU""-STR 2",TURDA,MUNICIPIUL TURDA,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2845,1262104515,"GRĂDINIȚA CU PROGRAM NORMAL ""DR. ION RAȚIU"" - STRUCTURA 3 TURDA","GRĂDINIȚA CU PN ""DR. ION RAȚIU"" - STR 3 (11) TURDA",TURDA,MUNICIPIUL TURDA,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
